M,21,757,5.75
M,84,801,9.11
M,64,198,8.41
M,99,766,1.85
M,91,929,3.62
M,34,764,7.89
M,4,840,7.31
M,17,809,7.67
M,67,607,1.59
M,74,500,4.60
M,1,277,6.95
M,41,421,4.06
M,80,450,5.64
M,38,166,7.60
M,24,204,5.04
M,2,887,6.10
M,49,1,3.43
M,61,17,3.65
M,20,631,1.88
M,61,691,9.92
M,83,648,6.07
M,95,24,1.94
M,96,802,1.64
M,47,194,2.29
M,31,413,7.18
M,88,148,4.99
M,36,886,5.36
M,92,948,6.96
M,31,927,7.29
M,30,291,7.47
M,22,790,0.80
M,36,849,8.32
M,21,168,1.74
M,33,367,6.35
M,2,156,2.25
M,33,285,8.26
M,69,697,7.65
M,5,114,1.75
M,52,968,5.50
M,30,161,7.22
M,92,197,1.69
M,77,895,1.46
M,63,401,3.76
M,76,317,9.19
M,30,253,0.68
M,56,791,3.59
M,85,516,8.06
M,98,754,3.44
M,27,47,0.55
M,98,851,6.33
M,95,357,9.58
M,56,122,5.80
M,18,357,8.14
M,51,705,0.14
M,74,543,6.61
M,91,396,1.51
M,2,937,6.99
M,91,736,5.70
M,70,980,2.22
M,75,5,5.85
M,10,846,6.76
M,69,617,9.02
M,60,322,8.89
M,99,821,9.36
M,90,362,8.41
M,49,784,5.41
M,55,600,8.49
M,48,459,7.22
M,77,281,7.38
M,63,844,1.55
M,78,5,1.80
M,59,309,1.80
M,90,642,2.09
M,31,145,4.18
M,33,179,3.15
M,8,336,0.49
M,59,499,7.24
M,98,665,4.03
M,89,990,0.78
M,51,344,7.89
M,80,340,0.20
M,87,635,5.60
M,93,42,7.57
M,2,691,3.73
M,11,864,5.74
M,76,994,0.51
M,29,539,2.37
M,70,870,6.64
M,83,650,7.90
M,12,307,1.14
M,82,491,9.66
M,34,572,3.95
M,63,156,9.25
M,66,199,5.40
M,12,919,6.44
M,57,919,1.76
M,46,813,8.85
M,25,553,0.87
M,57,298,9.87
M,22,712,3.92
M,58,524,1.64
M,45,883,6.06
M,63,823,8.66
M,49,653,3.97
M,49,596,0.09
M,52,449,8.72
M,25,395,5.81
M,35,139,0.93
M,80,937,9.06
M,84,898,7.73
