N,671,25,7.16
N,162,37,1.86
N,12,45,1.31
N,960,7,8.18
N,81,51,9.12
N,610,63,2.45
N,405,34,1.65
N,218,45,6.98
N,130,67,6.67
N,254,61,6.69
N,498,56,7.20
N,729,39,7.33
N,923,54,7.81
N,254,6,0.65
N,235,44,9.70
N,131,79,4.04
N,642,36,3.69
N,886,68,2.45
N,641,57,2.25
N,787,58,5.11
N,456,44,5.12
N,344,5,2.25
N,373,48,4.79
N,952,69,5.44
N,203,14,3.55
N,540,24,7.51
N,377,5,7.84
N,272,78,1.69
N,559,46,6.35
N,627,28,6.83
N,968,8,9.98
N,498,62,8.31
N,57,65,8.78
N,157,30,7.62
N,877,85,5.41
N,686,51,4.48
N,370,20,4.12
N,613,20,8.24
N,626,68,3.56
N,211,82,6.71
N,518,17,3.95
N,218,16,0.00
N,686,11,3.61
N,583,41,1.30
N,321,0,0.29
N,683,61,2.09
N,721,74,9.92
N,501,35,1.38
N,573,75,6.81
N,135,88,9.77
N,141,72,5.70
N,359,87,9.02
N,153,54,5.42
N,89,58,3.96
N,882,47,5.21
N,872,71,2.01
N,538,37,8.25
N,881,66,1.12
N,458,57,0.66
N,296,34,8.72
N,730,9,7.96
N,231,38,8.48
N,43,74,0.05
N,292,5,2.76
N,748,31,2.22
N,945,52,0.63
N,601,99,7.08
N,445,97,9.98
N,112,55,9.14
N,196,47,7.23
N,98,99,0.29
N,568,90,7.02
N,36,72,6.07
N,336,18,7.68
N,228,95,9.69
N,445,61,7.51
N,831,17,7.30
N,563,92,7.44
N,496,0,1.91
N,412,36,1.75
N,63,3,9.27
N,862,11,0.97
N,983,21,9.40
N,152,79,3.91
N,100,49,0.10
N,16,10,4.31
N,774,57,6.34
N,784,31,6.09
N,163,15,2.12
N,11,51,4.77
N,86,73,5.41
N,583,58,2.53
N,513,43,3.17
N,704,45,6.22
N,863,84,4.91
N,597,3,2.36
N,789,80,8.50
N,199,59,5.88
N,480,89,9.90
N,673,64,4.37
N,887,73,5.50
N,765,44,1.03
N,113,2,3.27
N,79,55,9.12
N,169,49,7.00
N,32,51,0.65
N,137,28,7.13
N,174,12,4.59
N,127,5,8.27
N,665,49,5.73
N,142,8,9.93
N,714,2,3.18
N,21,71,7.27
N,71,54,3.29
N,751,1,4.92
N,799,37,8.63
N,58,45,5.32
N,761,24,6.28
N,952,92,7.77
N,649,87,7.54
N,186,97,8.24
N,459,93,5.81
N,617,1,5.47
N,606,89,8.88
N,340,91,9.24
N,512,28,1.29
N,48,90,4.50
N,790,55,0.56
N,684,93,1.35
N,537,11,2.77
N,805,20,3.14
N,210,30,5.98
N,107,47,5.31
N,186,10,0.53
N,961,19,0.07
N,389,95,8.14
N,763,26,1.06
N,354,59,1.64
N,994,56,9.31
N,785,15,8.48
N,129,8,9.45
N,982,69,8.63
N,328,2,8.69
N,603,84,2.35
N,194,56,7.86
N,848,37,3.92
N,232,97,9.03
N,733,9,4.82
N,943,1,8.00
N,654,58,9.72
N,784,34,9.31
N,7,7,2.49
N,137,49,5.55
N,378,81,3.28
N,930,48,4.88
N,200,78,0.69
N,161,98,4.31
N,389,44,5.78
N,443,48,6.58
N,233,72,5.35
N,45,49,0.13
N,772,18,4.07
N,583,79,5.64
N,849,64,9.31
N,315,48,9.35
N,942,39,1.30
N,92,49,5.85
N,559,39,3.94
N,794,17,7.88
N,147,80,9.39
N,223,27,5.65
N,194,54,6.73
N,80,42,9.78
N,650,11,6.12
N,131,50,7.62
N,724,31,4.57
N,263,51,6.40
N,487,38,8.63
N,244,27,8.61
N,667,11,5.80
N,842,59,9.89
N,203,72,4.38
N,165,96,3.02
N,125,71,4.53
N,605,92,5.02
N,278,17,9.17
N,771,23,0.60
N,126,21,5.10
N,907,92,1.49
N,917,82,1.24
